code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sz.300253,2014-02-28,2013-12-31,2014-02-28,741311570.83,628166344.5,0.25706100000000004,14.15,0.75,0.324276,0.406792
sz.300254,2014-02-28,2013-12-31,2014-02-28,1080969648.43,610004052.01,0.009818,4.5,0.2,0.420499,0.642385
sz.300255,2014-02-25,2013-12-31,2014-02-25,1645301200.0,1229321100.0,0.08542000000000001,9.95,0.61,0.224103,0.24655
sz.300256,2014-02-28,2013-12-31,2014-02-28,2240831200.85,1330054145.85,-0.758915,-21.27,-0.9769,-0.106975,-27.32219000000001
sz.300257,2014-02-27,2013-12-31,2014-02-27,3845176819.57,3199944604.16,0.12999000000000002,11.17,0.8194299999999999,0.21081,0.197177
sz.300258,2014-02-12,2013-12-31,2014-02-12,1339259213.56,1076814402.42,0.045471,11.68,0.6663,0.21165,0.057569
sz.300258,2014-07-15,2014-06-30,2014-07-15,1494480065.59,1114258736.47,0.039721,5.55,0.3423,0.15028699999999998,0.071229
sz.300259,2014-02-28,2013-12-31,2014-02-28,843608083.14,717085494.9,0.131643,15.74,0.58,0.123859,0.090235
sz.300260,2014-02-27,2013-12-31,2014-02-27,984981192.21,637716439.15,-0.014463,2.05,0.1302,0.390591,-0.180276
sz.300261,2014-02-27,2013-12-31,2014-02-27,902156549.5,636258065.49,-0.020738,7.12,0.1919,0.362856,-0.096908
sz.300262,2014-02-25,2013-12-31,2014-02-25,1133297186.82,530840324.82,0.07202599999999999,12.8,0.24,0.210407,0.466491
sz.300264,2014-02-27,2013-12-31,2014-02-27,642292523.79,616991510.24,0.015615,2.74,0.11,-0.152801,-0.497618
sz.300265,2014-02-27,2013-12-31,2014-02-27,1115837215.51,762907703.07,-0.159701,5.62,0.31,-0.035088999999999995,-0.4385600000000001
sz.300266,2014-02-18,2013-12-31,2014-02-18,722510500.0,545667700.0,-0.147788,3.99,0.18,0.092969,-0.348185
sz.300268,2014-02-27,2013-12-31,2014-02-27,485060783.75,300218203.37,-1.369339,-47.48,-1.395,-0.312801,-24.695458
sz.300269,2014-04-11,2013-12-31,2014-04-11,917695036.23,569846821.52,-0.09028,2.85,0.14,0.089415,-0.65955
sz.300270,2014-02-28,2013-12-31,2014-02-28,507355320.72,477260683.61,-0.23894,3.47,0.14,-0.17292000000000002,-0.781065
sz.300271,2014-02-27,2013-12-31,2014-02-27,1278141045.01,962831458.5,0.146308,13.4,0.82,0.227361,-0.200057
sz.300272,2014-02-28,2013-12-31,2014-02-28,560246422.84,504207834.52,0.038247,11.73,0.3,0.292827,0.161441
sz.300273,2014-02-27,2013-12-31,2014-02-27,1607980847.58,1036960935.14,0.120345,18.15,0.4,0.320591,0.467131
sz.300274,2014-02-28,2013-12-31,2014-02-28,3907975900.0,2044221200.0,0.319387,9.2,0.55,0.997725,2.162753
sz.300275,2014-02-28,2013-12-31,2014-02-28,738527838.89,666849927.87,0.06793400000000001,15.97,0.58,0.231778,0.211656
sz.300276,2014-02-27,2013-12-31,2014-02-27,751925200.0,545313200.0,-0.16229000000000002,4.61,0.2,0.144913,-0.425566
sz.300277,2014-02-28,2013-12-31,2014-02-28,733174574.01,535410547.28,-0.239408,1.03,0.043,0.172763,-0.8788520000000001
sz.300279,2014-02-24,2013-12-31,2014-02-24,563787648.71,355640504.62,0.003481,5.36,0.1574,0.657046,0.14621199999999998
